Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Orbeli Joseph Abgarovich	20	3	1887	2	2	1961	Kavkazoved orientalist, linguist, archaeologist, historian	http://www.isaran.ru/?q=ru/persostav	________ ______ ___________	22.02.1931		__________ _ _______ _______ _______ _ _________ __________
Osinski (Obolensky) Lobanov	6	4	1887	1	9	1938	Economist, politician and activist	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	19.04.1903	16.05.1982	______, _________
Papkovich Peter F.	5	4	1887	3	4	1946	Specialist in the field of shipbuilding and structural mechanics	http://www.isaran.ru/?q=ru/persostav	_____ _____ __________	19.10.1958		__________ _ _______ _____________ _ ______-_____________ ______ _ __________ ______________ _ ______-______________ __________
Leopold Ruzicka (Lavoslav) Stefan	13	9	1887	26	9	1976	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	16.04.1937		_____-________.
Vladimir Ivanovich Smirnov	10	6	1887	11	2	1974	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	20.06.1938		__________ _ _______ ________, ___________ _ __________
Trainin Ilya Pavlovich	7	1	1887	27	6	1949	Specialist in the field of law	http://www.isaran.ru/?q=ru/persostav	_______ ______ _______	21.11.1891	24.03.1949	_________
Earthenware Casimir	27	5	1887	18	5	1975	Physicist, chemist	http://www.isaran.ru/?q=ru/persostav	_____ _______ __________	23.05.1908	17.10.1983	_______
Akaki Shanidze Gavriilovich	26	2	1887	29	3	1987	Kavkazoved, a specialist in the Georgian language	http://www.isaran.ru/?q=ru/persostav	__________-__________ ____	29.05.1816	01.08.1889	________, _______ __________, _______
Spielrein Yang Nikolaevich	26	6	1887	12	4	1939	Expert in the field of electrical engineering	http://www.isaran.ru/?q=ru/persostav	________ _____ _______	26.06.1956		__________ _ _______ ___________ ___________ _______________ __________
Erwin Schrodinger	12	8	1887	4	1	1961	Physicist, mathematician	http://www.isaran.ru/?q=ru/persostav	________ _____ ____________	20.02.1958		__________ _ _______ ______ _______________
Shubnikov Alexei V.	29	3	1887	27	4	1970	Physicist and crystallographer	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	03.04.1929		__________ _ _______ _______ ____ __________ _______
Hadrian-Peretz Varvara Pavlovna	12	5	1888	6	6	1972	Specialist in literature	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	19.01.1860	01.03.1940	______-_________
Bonch-Mikhail	21	2	1888	7	3	1940	Specialist in the field of radio	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	26.03.1930		__________ _ _______ _____ ________ _ ________ _______________
Bulakhovsky Leonid Arsen'evich	14	4	1888	4	4	1961	Philologist Slavists	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	15.07.1938		__________ _ _______ __________ __________
Nikolai Ivanovich Bukharin	9	10	1888	15	3	1938	Politician	http://www.isaran.ru/?q=ru/persostav	___________ ________ __________	16.10.1946		_____
Walter Petr	3	3	1888	1	8	1947	Mathematician, an expert in the field of mechanics	http://www.isaran.ru/?q=ru/persostav	___________ _____ _________	25.07.1855	21.02.1919	_______-_______, ___________, ________
Victor Moritz Goldschmidt	27	1	1888	20	3	1947	Geochemist and mineralogist	http://www.isaran.ru/?q=ru/persostav	_________ ______ _________	30.10.1891	11.02.1970	__________ _ _______ ______________ _ __________
Grossgeim Alexander Alfonsovich	6	3	1888	4	12	1948	Botanist, an expert in plant systematics	http://www.isaran.ru/?q=ru/persostav	_______ _________ ________	02.05.1946		__________ _ _______ ______________ __________ _ _______________ _____________
Auguste Cornu	9	8	1888	6	5	1981	Philosopher	http://www.isaran.ru/?q=ru/persostav	_______ _______ ____________	06.11.1942		__________ _ _______ ___________ _ ________ _________-_______________ _____________, _______ _ _______________ _________-_____________ _________ ________________ _________ ______ _ _________ ________
Richard Courant	8	1	1888	27	1	1972	Mathematician, philosopher	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	27.08.1854	05.10.1936	__________ _ _______ __________
Lebedinskii Viacheslav	13	9	1888	12	12	1956	Inorganic chemist	http://www.isaran.ru/?q=ru/persostav	___________ ______ ___________	18.03.1933		__________ _ _______ ________ ________ ____, _________ _____________
Alexander Mikhailov	26	4	1888	29	9	1983	Astronomer, an expert in the field of gravity	http://www.isaran.ru/?q=ru/persostav	_________ ________ __________	25.01.1942		__________ _ _______ ______ ___________ _ ___________ __________ ______, ______________ _________ _ _______ __ _________ __________
Nikolai Naumov	18	3	1888	6	7	1959	Botanist and mycologist and plant pathologist	http://www.isaran.ru/?q=ru/persostav	_________ _______ ___________	01.10.1941		__________ _ _______ ______, ______-_____ _ ________ _________
Paul Niggli	26	6	1888	13	1	1953	Mineralogy, petrography, geochemist	http://www.isaran.ru/?q=ru/persostav	_____ _______ __________	05.11.1931	21.10.2010	__________ _ _______ ____________ ________ ________ _______ _ _____ ______
Obnorsky Sergey	26	6	1888	13	11	1962	Philologist, Slavic	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	09.08.1873	01.08.1941	________
Polkanoff Alexander	25	5	1888	10	1	1963	Geology, mineralogy, petrography	http://www.isaran.ru/?q=ru/persostav	_______ ____ __________	09.02.1953		__________ _ _______ ________ ______, _______________, ____– _ ___________.
Chandrasekhara Venkata Raman	7	11	1888	21	11	1970	Physicist optician	http://www.isaran.ru/?q=ru/persostav	_______ ______ _____________	20.12.1931	12.12.1994	__________ _ _______ _______ __________ ________
Alexander Smirnov	25	3	1888	9	3	1945	Specialist in Plant Physiology and Biochemistry	http://www.isaran.ru/?q=ru/persostav	_______ _______ _____________	20.12.1931		_______, __________ __ _______ _______ _____________ _____
Speranskii Alex D.	11	1	1888	23	7	1961	Medic pathologist, physiologist	http://www.isaran.ru/?q=ru/persostav	______ _____ ______	29.01.1810	14.05.1893	_________
Spivakovsky Alexander Onisimovich	29	1	1888	9	5	1986	Specialist in mining mechanization and mine transport	http://www.isaran.ru/?q=ru/persostav	___ ______	19.11.1690	08.10.1769	_________
Andrei Tupolev	10	11	1888	23	12	1972	Aircraft	http://www.isaran.ru/?q=ru/persostav	___ _____ ______ _________	19.11.1812	05.05.1881	________
Chinakal Nikolai Andreyevich	21	11	1888	25	12	1979	A specialist in metallurgy and mining	http://www.isaran.ru/?q=ru/persostav	______ _____ ______________	14.07.1929	31.03.1999	__________ _ _______ ___________ ______ _ _______ ________ _ ____________ _____________ ____________ _____
Shennikov Aleksandr Petrovich	10	9	1888	24	5	1962	Botanist geobotanist	http://www.isaran.ru/?q=ru/persostav	_____ ______ ______ ______ ________	18.11.1839	21.05.1894	_____
Yanovsky, Mikhail I.	8	6	1888	14	7	1949	Specialist in marine steam and gas turbines	http://www.isaran.ru/?q=ru/persostav	_____ _____ _________ (_____ ______)	14.10.1814	18.01.1899	_______, _______, ________, ________
Boris Alexandrov Kapitonovich	18	8	1889	22	1	1973	Specialist in problems of water management and hydraulic engineering	http://www.isaran.ru/?q=ru/persostav	_____ ________ __________	15.08.1906	16.10.1976	___________
Stepan N. Danilov	6	1	1889	4	2	1978	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	06.08.1934	29.03.2002	__________ _ _______ __________ _ ____________ _____
Jan Dembowski Bogdan	26	12	1889	22	9	1963	Biologist, zoologist	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	24.01.1897	17.03.1969	_______, __________ _ _______ __________ ________
Zenkevich Lev	16	6	1889	20	6	1970	Hydrobiologist, oceanographer	http://www.isaran.ru/?q=ru/persostav	______ ______ _________ (______ ______)	06.01.1799	23.05.1865	_____, _________, _____
Michael Kostenko Polievktovich	28	12	1889	18	12	1976	Expert in the field of electrical engineering and electrical engineering	http://www.isaran.ru/?q=ru/persostav	______ ______	08.01.1888	27.01.1972	_________, _______
Andrey Larionov	16	7	1889	7	2	1963	Specialist in the field of aviation and automotive electrical	http://www.isaran.ru/?q=ru/persostav	___________ _______	02.02.1896	18.06.1980	_________
Do Syguan	26	10	1889	4	5	1971	Geologist	http://www.isaran.ru/?q=ru/persostav	_________ ________ ________	23.07.1930	09.09.2011	__________ _ _______ ____________ _ __________ _____________ ________ ___________ _________
Vladimir Pavlovich Linnik	6	7	1889	9	7	1984	Physicist	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	15.01.1913	16.07.2004	__________ _ _______ ______ ________ ____, _________________ _ _________ ___________
Nalivkin Dmitry Vasilyevich	25	8	1889	3	3	1982	Geologist, paleontologist	http://www.isaran.ru/?q=ru/persostav	________ _______ ____________	14.02.1902	06.07.1996	__________ _ _______ ______ ________ _ ______________
Sergey Leonidovich Rubinstein	18	6	1889	11	1	1960	Specialist in General Psychology	http://www.isaran.ru/?q=ru/persostav	________ ______ ________	18.11.1928	02.12.2004	__________ _ _______ ______________ ______ _ ______________ __________
Rusnyak (Rusnyak) Istvan	22	1	1889	15	10	1974	Therapist pathophysiologist biochemist	http://www.isaran.ru/?q=ru/persostav	__________ _________ _________	19.10.1939		__________ _ _______ __________ __________, ________ _ _________ __________
Vyacheslav Stepanov	4	9	1889	22	7	1950	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ______ ____________	03.10.1931		__________ _ _______ ________ ______ _____ _ _________ __________ __________ _____________ ________ __________
Vasily Struve	2	2	1889	15	9	1965	Orientalist and Egyptologist, historian	http://www.isaran.ru/?q=ru/persostav	________ _______ _________	06.12.1860	19.03.1941	_____
Traian Sevulesku	2	2	1889	29	3	1963	Botanist and mycologist, plant pathologist	http://www.isaran.ru/?q=ru/persostav	________ ______ _______	08.11.1902	20.09.1999	__________ _ _______ __________ _ ________ ________
Fesenkov Vasily	13	1	1889	12	3	1972	Astronomer	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	13.04.1899	12.06.1983	_____-_______
Sheviakov Lev Dmitrievich	15	1	1889	3	7	1963	Specialist in the field of mining	http://www.isaran.ru/?q=ru/persostav	____ ______ __________ (______ ______)	01.01.1846	13.07.1925	_______-_______, ___________
Boris Yuriev	10	11	1889	14	3	1957	Expert in the field of aerodynamics, aerodynamics and the Theory of Aircraft	http://www.isaran.ru/?q=ru/persostav	________ _____ __________	12.01.1903	07.02.1960	_____
Antipin Peter F.	25	12	1890	30	10	1960	A specialist in metallurgy	http://www.isaran.ru/?q=ru/persostav	________ _______ _________	03.03.1954		______, __________ _ _______ ________ _____ _ ____
Bakoulev Alexander	7	12	1890	31	3	1967	Specialist in Neurosurgery	http://www.isaran.ru/?q=ru/persostav	_______ ____ ___________	12.07.1930	21.08.2001	__________ _ _______ _______ _____________ _ ________ _______ ______________
Barannikoff Alexey	21	3	1890	4	9	1952	Orientalist and Indologist	http://www.isaran.ru/?q=ru/persostav	______ ____ _______	20.04.1944		__________ _ _______ ________, _____________ _________ _ ______-___________ _____________ _________ _________ ___ _______ _________
Belchikov Nikolai Fedorovich	16	11	1890	8	1	1979	Specialist in literature	http://www.isaran.ru/?q=ru/persostav	___________ ______ _________	31.07.1914	20.03.1986	__________ _ _______ ___________, _____________ ______________ ______, _____ _______ __________
Nikolai Mikhailovich Belyaev	5	2	1890	25	4	1944	One skilled in the field of elasticity and strength of materials	http://www.isaran.ru/?q=ru/persostav	_______ ____ ___________	26.06.1937	04.12.2008	__________ _ _______ ________________ _ ______________ _____.
Eugene E. Bertels	25	12	1890	7	10	1957	Orientalist Iranist	http://www.isaran.ru/?q=ru/persostav	_______ _______ ____________	10.09.1929	28.02.2004	__________ _ _______ _____________ _____ __________ __________
Bubrikh Dmitry	25	7	1890	30	11	1949	Linguist, specialist in Finno-Ugric Linguistics	http://www.isaran.ru/?q=ru/persostav	_______ ______ _________	06.07.1809	26.05.1886	_______-________
Jaroslav Heyrovsky	20	12	1890	27	3	1967	Physical chemist, electrochemist	http://www.isaran.ru/?q=ru/persostav	________ ____ _____________	04.10.1881	17.05.1964	_______, _________ _ _______________ _______
Grigoriev Joseph F.	28	5	1890	14	5	1949	Geologist	http://www.isaran.ru/?q=ru/persostav	_____ _________ __________	31.05.1949		_____-_______
Boris Delaunay	15	3	1890	17	7	1980	Mathematician	http://www.isaran.ru/?q=ru/persostav	_________ _____	17.09.1904	01.01.1997	_________, _______, __________ _ _______ _______ ________ _________ _ _____________ _______ ________
Ernshtedt Peter V.	21	6	1890	25	12	1966	Linguist and orientalist, specialist in the history of Greek and Coptic languages	http://www.isaran.ru/?q=ru/persostav	_______-__________ _________ ___________, ____	04.03.1800	06.04.1855	_______________ _______
Kazarnovskii Isaac Abramovich	29	9	1890	12	1	1981	Chemist	http://www.isaran.ru/?q=ru/persostav	_______ (______) ______	01.07.1808	17.06.1864	__________-_______
Loaves Nikolai Mikhailovich	7	6	1890	25	1	1979	Expert in the field of chemistry and technology of fuel	http://www.isaran.ru/?q=ru/persostav	____ (_____) _____	16.08.1821	26.01.1895	_________
Kozo-Polyansky Boris	19	1	1890	21	4	1957	Botanist, botanical geographer, a specialist in plant morphology	http://www.isaran.ru/?q=ru/persostav	________ (_____) ______ ______	11.04.1862	14.06.1938	________
Konobeevskii Sergei T.	26	4	1890	26	11	1970	Specialist in the field of metal and Metal	http://www.isaran.ru/?q=ru/persostav	_____ ____ ________ _______ ________ _______,_____, __ (CUVIER, Georges Le ´opold Chre ´tien Fre ´de ´ric Dagobert,baro ´n, de)	23.08.1769	13.05.1832	__________________, ______, ___________
Krutkov Yuri A.	29	5	1890	12	9	1952	Physicist, mathematician, an expert in the field of mechanics	http://www.isaran.ru/?q=ru/persostav	_____ ____ ________ (______ ____ _____)	25.08.1765	22.01.1838	_______, ________
Mehmet Fuat Koprulu (Köprülü Mehmet Fuat)	4	12	1890	28	6	1966	Philologist, essayist, historian	http://www.isaran.ru/?q=ru/persostav	_____ ______ ________	05.11.1838	21.10.1903	_______, ________
Grigory Landsberg Samuilovich	22	1	1890	2	2	1957	Physicist, an expert in the field of optics	http://www.isaran.ru/?q=ru/persostav	________ _______ _______	06.07.1817	02.11.1905	______, ________ _ _________
Molotov (Scriabin) Vyacheslav	9	3	1890	8	12	1986	Statesman and politician	http://www.isaran.ru/?q=ru/persostav	__________ _____ (_____) ______ ___ ______ (Kolreuter)	27.09.1733	12.11.1806	_______
Hermann Joseph Muller (German Joseph Muller)	21	12	1890	5	4	1967	Biologist, geneticist	http://www.isaran.ru/?q=ru/persostav	_____ ______ ___	21.03.1837	03.05.1915	______
Nikolai Nikitin Ignatievich	12	3	1890	22	1	1975	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	_____ ____ ___ _____ ______ ________	01.07.1774	19.08.1851	_______, _________
Pavlov Todor Dimitrov (Gakhov) (alias P.Dosev)	14	2	1890	8	5	1977	Philosopher, literary critic, esthetician, and a public figure	http://www.isaran.ru/?q=ru/persostav	_______ ______ ____ (Köprülü Mehmet Fuat)	04.12.1890	28.06.1966	_______, _________, _______
Skazkin Sergei Danilovich	19	10	1890	14	4	1973	Historian	http://www.isaran.ru/?q=ru/persostav	_______ (_______) _______ (_______) ________	27.09.1719	20.06.1800	_________ _ _____
Hlopin Vitaliy G.	26	1	1890	10	7	1950	Chemist, physical chemist, radiochemist	http://www.isaran.ru/?q=ru/persostav	_____ ______ ______ ______	05.08.1815	03.12.1876	_______-_______
Eccentrics Evgeni	1	9	1890	19	9	1953	Expert in the field of Engineering and motor vehicles	http://www.isaran.ru/?q=ru/persostav	__ _____-______ ___ __	01.07.1869	01.08.1938	_______
Alexeev Alexander Yemelianovich	27	11	1891	16	5	1975	Expert in the field of electrical engineering	http://www.isaran.ru/?q=ru/persostav	_______ _______ ________	12.01.1930		__________ _ _______ ________, __________ _____________ _______ ____________ ________ _____________, ________, _______ _ ________ _____ __________ ________ _____
Belov Nikolai Vasilyevich	14	12	1891	6	3	1982	Chemist, physical chemist, crystallographer, geochemist	http://www.isaran.ru/?q=ru/persostav	______ ______	17.12.1842	18.08.1922	_______
Sergei Ivanovich Vavilov	24	3	1891	25	1	1951	Physicist, an expert in the field of optics	http://www.isaran.ru/?q=ru/persostav	________ _____ __________	11.09.1900	09.06.1960	_______________
Vinogradow	14	9	1891	20	3	1983	Mathematician	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	23.02.1900	18.07.1987	__________, ________-_______
Zhirmunski Victor Maksimovic	2	8	1891	31	1	1971	Linguist, literary critic, scholar	http://www.isaran.ru/?q=ru/persostav	__________ _____ _____________	12.08.1892	09.02.1944	_____________
Calls Vasily	6	1	1891	13	11	1965	Expert in the field of water transport	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	19.11.1900	15.10.1980	_________, __________ _ _______ ________
Kazan Boris	25	4	1891	5	4	1973	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	21.07.1932	16.07.2010	__________ _ _______ ______________ ______
Conrad Nicholas I.	13	3	1891	30	9	1970	Orientalist and Japan expert Sinologist	http://www.isaran.ru/?q=ru/persostav	______ _____ ________	07.08.1943		__________ _ _______ _______ __________ __________
Koshliakov Nikolai	23	7	1891	23	9	1958	Mathematician	http://www.isaran.ru/?q=ru/persostav	______ _________ __________	29.01.1949		__________ _ _______ _______ _______ __________ _____ _I_ - ______ __ _., __________ _______ ___________
Hans Kruus Hansovich	22	10	1891	30	6	1976	Historian	http://www.isaran.ru/?q=ru/persostav	______ ___ __________	13.03.1933	24.06.1994	__________ _ _______ _______________ ______________ _ _______________ ________________ ______________ _________
Rodion Kuzmin Osievich	21	11	1891	24	3	1949	Mathematician	http://www.isaran.ru/?q=ru/persostav	______ ____ __________	18.09.1856	24.11.1929	_______-_______
Kulebakin Victor S.	30	10	1891	11	2	1970	Expert in the field of electrical engineering and automation	http://www.isaran.ru/?q=ru/persostav	______ _________ _________	12.03.1923	18.06.2004	__________ _ _______ _______________ ___________ ___ _ __________ ________ ________
Alexander Maximov	16	8	1891	28	6	1976	Philosopher	http://www.isaran.ru/?q=ru/persostav	__________ __________ ________	19.11.1898	07.03.1972	_____-_______, __________ _ _______ ________ ______________
Sergey Medvedev	17	5	1891	13	8	1970	Chemist	http://www.isaran.ru/?q=ru/persostav	__________ _______ __________	21.11.1825	18.09.1899	_______-_______
Moshkin Panteleimon Afanasevich	13	2	1891	6	11	1971	Expert in the field of chemical engineering	http://www.isaran.ru/?q=ru/persostav	__________ ____ __________	31.03.1827	28.02.1886	_______-_______
Nikolai Ivanovich Muskhelishvili	16	2	1891	15	7	1976	Mathematician, an expert in the field of mechanics	http://www.isaran.ru/?q=ru/persostav	______ (________) _____ _____ __	02.11.1827	22.12.1891	________-__________
Ciphers Boris	29	1	1891	13	9	1941	Astronomer, geophysicist, a surveyor, a specialist in the field of gravity	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	08.08.1939		__________ _ _______ _____________ _ ___________.
Obruchev Sergey	3	2	1891	29	8	1965	Geologist	http://www.isaran.ru/?q=ru/persostav	_______ _________ __________ (_________ ____ ___)	27.08.1852	01.08.1922	_________, _________
Penfield Wilder Graves	26	1	1891	5	4	1976	Neurophysiologist, neurosurgeon	http://www.isaran.ru/?q=ru/persostav	_______ _____-___ __, ____	25.01.1736	10.04.1813	_________
Predvoditelev Predvoditelev	11	9	1891	27	12	1973	Physicist	http://www.isaran.ru/?q=ru/persostav	_____ _________ (Lagus Wilhelm)	01.07.1700	16.06.1785	__________
Ivan Ivanovich Privalov	11	2	1891	13	7	1941	Mathematician	http://www.isaran.ru/?q=ru/persostav	___________ _____ _____________	07.03.1922	12.01.2004	__________ _ _______ __________, ______________ ______ _ _____________ _____________
Pshenitsyn Nicholas	13	7	1891	15	1	1961	Chemist, an expert in the field of chemistry of platinum metals	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	17.07.1940		__________ _ _______ _________-_____________ _________ _ ____________ _________.
Alexei Sidorov	13	6	1891	30	6	1978	Art historian bibliologist, bibliophile	http://www.isaran.ru/?q=ru/persostav	_______ ______ _______	03.09.1897	01.02.1976	____________
Helge Stensjön Eric Oswald	2	10	1891	11	1	1984	Palaeozoology	http://www.isaran.ru/?q=ru/persostav	_______ _________ _________	25.07.1929	19.09.1994	__________ _ _______ _____ ________ ____, ___________ _ __________ ______________ __________, _________________ _____ _______________ ________________
Boris S. Stechkin	5	8	1891	2	4	1969	Specialist in the field of heat and aircraft engines	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	12.04.1878	23.04.1942	_____
Syromjatnikov Sergey	10	7	1891	4	3	1951	Specialist in parovozostroeniya and heating	http://www.isaran.ru/?q=ru/persostav	______ (______) ______, ___, 1-_ _______ (LYELL, Charles, Sir, 1st Baronet)	14.11.1797	22.02.1875	__________________, ______, _____
Terent'ev Aleksandr Petrovich	20	1	1891	17	7	1970	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	________ ______ (Sir Michael James Lighthill)	23.01.1924	17.07.1998	__________ _ _______ ____________, _____________, ___________
Schmidt Schmidt	30	1	1891	7	9	1956	Geophysicist, mathematician, astronomer, geographer, traveler	http://www.isaran.ru/?q=ru/persostav	_____-_____ ______-_____-____ __ (Felix-Josèphe-Henri de Lacaze-Duthiers)	15.05.1821	21.07.1901	__________________, ______
Pavel Baranov	28	7	1892	17	5	1962	Botanist, an expert in plant morphology	http://www.isaran.ru/?q=ru/persostav	_______ ______-___ __	15.03.1713	21.03.1762	________
Broglie (de Broglie), Louis-Victor-Pierre-Raymond de Prince	1	8	1892	19	3	1987	Physicist	http://www.isaran.ru/?q=ru/persostav	______ _______-______-_______	04.02.1863	16.03.1948	_________, _________
Guo Moruo	16	11	1892	12	6	1978	Historian, writer, literary critic, statesman	http://www.isaran.ru/?q=ru/persostav	____ _____ (_____) _____	01.05.1928		_________, __________ _ _______ _______________ _______
Nikolai Gorbunov	21	5	1892	7	9	1938	Engineer, geographer, a chemist	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________ (____ ______)	27.07.1737	05.01.1796	__________________, _____, ______________
Beetle Efron	4	4	1892	1	3	1957	Expert in the field of hydraulic engineering	http://www.isaran.ru/?q=ru/persostav	___ ______ (Lal Krishan)	15.03.1941		__________ _ _______ ______________ _ _______________
Kamensky N. Gregory	18	1	1892	17	7	1959	Hydrogeologist	http://www.isaran.ru/?q=ru/persostav	______ __ _______ _____-_____ __	11.07.1732	04.04.1807	________
Karnaukhov Mikhail	14	3	1892	22	12	1955	A specialist in metallurgy	http://www.isaran.ru/?q=ru/persostav	_________ ________ ________	26.06.1833	19.11.1914	_______, _______-_______
Klimov Vladimir Yakovlevich	23	7	1892	9	9	1962	Designer of aircraft engines	http://www.isaran.ru/?q=ru/persostav	_________ _______ ________	01.12.1826	31.01.1902	_________, __________ __ ___________ ____
Eugene A. Korovin	12	10	1892	23	11	1964	Lawyer	http://www.isaran.ru/?q=ru/persostav	____ ________	22.07.1795	01.05.1870	_________-_______, _______
Lavrentiev Boris Innokentevich	12	8	1892	9	2	1944	Histoneurology	http://www.isaran.ru/?q=ru/persostav	_____ ________ _____________	14.05.1936		__________ _ _______ _______ _________-______________ ________ ______ _ ______
Men'shov	18	4	1892	25	11	1988	Mathematician	http://www.isaran.ru/?q=ru/persostav	______ ___-_____	23.08.1763	28.01.1824	__________, ________
Ostrovityanov Konstantin	30	5	1892	9	2	1969	Economist	http://www.isaran.ru/?q=ru/persostav	_________ ________ ________ (_____ ______)	18.04.1774	29.06.1852	_____, _______, ______, ______________
Serebrovskii Alexander	18	2	1892	26	6	1948	Biologist, geneticist, zoologist	http://www.isaran.ru/?q=ru/persostav	______ ___ _________	22.01.1908	01.04.1968	_____
Skobel'tsyn Dmitry	24	11	1892	16	11	1990	Expert in the field of nuclear physics, elementary particles and cosmic rays	http://www.isaran.ru/?q=ru/persostav	______ ______ _____ ______	14.02.1877	19.02.1938	_________
Sinisa Stankovic	26	3	1892	24	2	1974	Zoologist hydrobiologist, biogeography, euro	http://www.isaran.ru/?q=ru/persostav	________ ____ ______	05.12.1831	15.03.1910	_____
Trever Camilla V.	25	1	1892	11	11	1974	Historian, art critic	http://www.isaran.ru/?q=ru/persostav	_________ ________ __________	22.01.1890	02.02.1957	_____, __________ _ _______ ______
Tyurin Ivan	2	11	1892	12	7	1962	Pedologist	http://www.isaran.ru/?q=ru/persostav	________ ____	23.01.1872	19.12.1946	_____
Konstantin Fedin	24	2	1892	15	7	1977	Writer	http://www.isaran.ru/?q=ru/persostav	_________ _____ ___	15.05.1847	15.08.1929	______, _________
Khachapuridze Georgy	18	6	1892	1	10	1957	Historian	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	23.12.1787	26.01.1862	_______________ _______
John Burdon Sanderson Haldane	5	11	1892	1	12	1964	Biologist. physiology, genetics	http://www.isaran.ru/?q=ru/persostav	_______ _______ _______	30.11.1933		__________ _ _______ _____________ ________ _ ___ ____________ __________
Shain Grigory Abramovich	19	4	1892	4	8	1956	Astronomer	http://www.isaran.ru/?q=ru/persostav	_____ _______ ________	20.05.1931		__________ _ _______ _______ _________ _________ _ ____________ __________
Baluhaty Sergey	24	3	1893	2	4	1945	Literary critic, bibliographer	http://www.isaran.ru/?q=ru/persostav	_____ ____ ________	29.01.1909	26.04.1986	__________ _ _______ _____________ ____________ ________, ___________ _ ______________ _________ ________
Aksel Berg	10	11	1893	9	7	1979	Specialist in the field of radio, radio, radar	http://www.isaran.ru/?q=ru/persostav	______ ____-_____ __, ____, _____ ______	23.03.1749	05.03.1827	________, _________ _ _____
Good Dmitry	9	2	1893	14	2	1984	Literary critic, specialist in the history of Russian literature	http://www.isaran.ru/?q=ru/persostav	__________ ______ ______	30.07.1794	28.11.1865	_______
Vvedenskii Boris	19	4	1893	1	6	1969	Specialist in the field of radio and radio	http://www.isaran.ru/?q=ru/persostav	_____ ______ _________	27.03.1938	05.01.2006	__________ _ _______ __________ ____________ _ ______________ ______ _ _________
Ivan Gorsky	12	9	1893	9	7	1975	Geologist	http://www.isaran.ru/?q=ru/persostav	_____-___________ _________ _________	27.01.1863	07.02.1919	_______
Zutis Yang Y.	16	8	1893	28	6	1962	Historian	http://www.isaran.ru/?q=ru/persostav	_____-___________ ____ _____________	28.10.1896	15.03.1931	_________
Kravkov Sergey	31	5	1893	16	3	1951	Expert in the field of experimental psychology and Biophysics senses	http://www.isaran.ru/?q=ru/persostav	______ ________ __________	28.04.1924	04.07.2012	__________ _ _______ ______________ _____
Alexander Lebedev	26	11	1893	15	3	1969	Physicist, an expert in the field of optics	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	16.07.1889	07.02.1963	__________ _ _______ ____________ _ ______________ ___________________
Prasanta Chandra Mahalanobis	29	6	1893	28	6	1972	Mathematician, statistician	http://www.isaran.ru/?q=ru/persostav	________ ________ ________	10.02.1938	04.03.2004	__________ _ _______ ________________ _ _________ ___________ _ ________ __________
Vasily Petrovich Nikitin	14	8	1893	16	3	1956	Specialist in Electromechanics and Electric	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	20.09.1934	19.01.2003	__________ _ _______ ________ _______ _ ______________ __________
Viktor Nikolaev Arsen'evich	7	12	1893	25	9	1960	Geologist, petrographer	http://www.isaran.ru/?q=ru/persostav	______ ________ ________	14.10.1932	04.08.2005	__________ _ _______ ______ _________________, ______ _______ _________, ____________________ ______ ______ ____
Ivan Nikolaev	11	4	1893	25	11	1964	Expert in the field of railway transport	http://www.isaran.ru/?q=ru/persostav	________ _____ __________	24.06.1915	22.02.1997	__________ _ _______ _____ _ __________ ______, _____________, _______ _ ___________ ________
Orlov Yuriy Aleksandrovich	12	6	1893	2	10	1966	Paleontologist histologist	http://www.isaran.ru/?q=ru/persostav	______ ________	22.10.1800	08.05.1876	__________-_______
Rabinovich Adolf I.	5	4	1893	19	9	1942	Fizikohimik	http://www.isaran.ru/?q=ru/persostav	_______ _________ __________	04.01.1959		__________ _ _______ ______________ _ ___________ ______________ ______
